Countrycode,Country,Year,Hospital_Stay,MRI_Units,CT_Scanners,Hospital_Beds
LTU,Lithuania,2006,8.00,3.06,12.84,3.06
LTU,Lithuania,2007,7.70,3.40,10.52,3.40
LTU,Lithuania,2008,7.50,4.38,13.76,4.38
LTU,Lithuania,2009,7.20,5.37,16.12,5.37
LTU,Lithuania,2010,7.10,4.84,18.73,4.84
LTU,Lithuania,2011,7.00,5.94,20.14,5.94
LTU,Lithuania,2012,6.90,10.04,23.76,10.04
LTU,Lithuania,2013,6.90,10.48,23.67,10.48
LTU,Lithuania,2014,6.80,10.57,22.17,10.57
LTU,Lithuania,2015,6.60,11.02,21.00,11.02
LTU,Lithuania,2016,6.60,12.20,23.01,12.20
LTU,Lithuania,2017,6.50,12.37,23.33,12.37
LTU,Lithuania,2018,6.50,12.49,24.27,12.49
